feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
TEKT4	Bloody_Swab	Yes	1.22427746963222	0.490282770524221	0.0154888753083284	0.487674451543238	CPLM	1.176	58	18	69
IFT22	Bloody_Swab	Yes	1.16627642589154	0.477381255716825	0.0177416900313119	0.487674451543238	CPLM	1.372	58	28	52
DEUP1	Bloody_Swab	Yes	1.67437002445	0.705508239984282	0.0210873584992669	0.487674451543238	CPLM	1.105	58	10	83
SYTL3	Bloody_Swab	Yes	1.38155321051118	0.55387320645049	0.0155964304587351	0.487674451543238	CPLM	1.278	58	30	48
KIF3A	Bloody_Swab	Yes	1.27301594161022	0.503545213114233	0.0143150814228561	0.487674451543238	CPLM	1.297	58	28	52
CERKL	Bloody_Swab	Yes	1.28403973249668	0.541649055345842	0.0212259004519455	0.487674451543238	CPLM	1.208	58	16	72
EMB	Bloody_Swab	Yes	1.28946656022926	0.522848057213634	0.0167416737491177	0.487674451543238	CPLM	1.326	58	26	55
GLB1L	Bloody_Swab	Yes	1.32046194634453	0.525780195550569	0.0149355386915597	0.487674451543238	CPLM	1.245	58	23	60
SLF2	Bloody_Swab	Yes	1.15535060379919	0.486511471671411	0.0210107409424912	0.487674451543238	CPLM	1.01	58	22	62
CDK17	Bloody_Swab	Yes	1.14353911910506	0.460132570702009	0.0159595797132579	0.487674451543238	CPLM	1.01	58	20	66
SHROOM3	Bloody_Swab	Yes	1.18172811480299	0.502543359948603	0.0222418432902222	0.504008562104846	CPLM	1.385	58	34	41
RGS22	Bloody_Swab	Yes	1.49999324819152	0.63939733479941	0.0225446077475588	0.506094839342395	CPLM	1.234	58	20	66
PIFO	Bloody_Swab	Yes	1.17697425881098	0.506442032363108	0.0237788014442895	0.528858158047994	CPLM	1.524	58	31	47
PPL	Bloody_Swab	Yes	-2.33867098200558	1.01321394777115	0.0247064880086127	0.535805637224235	CPLM	1.563	58	40	31
SNAPC1	Bloody_Swab	Yes	1.2357011097785	0.535954688894767	0.0248596613816056	0.535805637224235	CPLM	1.099	58	18	69
HSPA8	Bloody_Swab	Yes	0.738416224962678	0.321851544192591	0.0255469026623958	0.535805637224235	CPLM	1.418	58	46	21
COL21A1	Bloody_Swab	Yes	1.20891166854079	0.524235471262396	0.0248333325007432	0.535805637224235	CPLM	1.207	58	19	67
MKL2	Bloody_Swab	Yes	0.963223039599684	0.419912639809503	0.0255721147246139	0.535805637224235	CPLM	1.107	58	30	48
CKAP2	Bloody_Swab	Yes	1.25625425748668	0.546026099025015	0.0251539127284391	0.535805637224235	CPLM	1.01	58	14	76
MDC1	Bloody_Swab	Yes	1.47063744961986	0.641483635408191	0.0256526429145658	0.535805637224235	CPLM	1.115	58	13	78
AKAP14	Bloody_Swab	Yes	1.2050942317055	0.531086597360615	0.0271338046159098	0.551836475645924	CPLM	1.274	58	22	62
LRTOMT	Bloody_Swab	Yes	1.07302765885209	0.473544105056024	0.0273391093263384	0.551836475645924	CPLM	1.196	58	21	64
IPO11	Bloody_Swab	Yes	1.02462250232536	0.451542703999285	0.0271306263156449	0.551836475645924	CPLM	1.142	58	22	62
CAP2	Bloody_Swab	Yes	1.2400611858469	0.547062010152806	0.0272860579614639	0.551836475645924	CPLM	1.134	58	19	67
SCAPER	Bloody_Swab	Yes	1.13386093188239	0.501743485975093	0.0277399425956584	0.555261184289762	CPLM	1.01	58	16	72
S100P	Bloody_Swab	Yes	-2.22079819701426	0.985647771578009	0.0281859422039713	0.556957917716225	CPLM	1.675	58	40	31
