feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
SLC4A4	sex	male	-0.840309826823373	0.965201693331537	0.387686472602902	0.803471015696436	CPLM	1.325	58	7	88
TMEM184A	sex	male	0.287737870718235	0.330426828277253	0.387577531092388	0.803471015696436	CPLM	1.206	58	31	47
FAM84A	sex	male	0.278695834025621	0.320435763004652	0.388155218661997	0.803748995884583	CPLM	1.294	58	35	40
MTRNR2L1	sex	male	-0.5563408113064	0.643799494161777	0.391190691002368	0.804651698143752	CPLM	1.74	58	34	41
DGKA	sex	male	0.805794257215006	0.932627229003683	0.391271100512865	0.804651698143752	CPLM	1.256	58	18	69
TNFSF10	sex	male	0.422738191374319	0.488960036367548	0.390965483096283	0.804651698143752	CPLM	1.567	58	39	33
RIPOR2	sex	male	-0.371391812847789	0.428553595022227	0.389849989216301	0.804651698143752	CPLM	1.347	58	20	66
ZBTB21	sex	male	0.415982347605222	0.480572698714463	0.390404397925619	0.804651698143752	CPLM	1.182	58	18	69
NPHP1	sex	male	-0.329273078232753	0.380690076316876	0.390763315935524	0.804651698143752	CPLM	1.288	58	22	62
STK39	sex	male	0.318076643681592	0.367227643990983	0.390100197680624	0.804651698143752	CPLM	1.343	58	34	41
AKAP14	sex	male	-0.335685790302425	0.387710690060739	0.39028583198229	0.804651698143752	CPLM	1.293	58	22	62
KRT5	sex	male	-0.858792315216848	1.00618919631708	0.397012846087549	0.805953596210836	CPLM	1.58	58	7	88
GCNT3	sex	male	0.474960508304177	0.558089623837019	0.398367749057836	0.805953596210836	CPLM	1.47	58	23	60
CTSL	sex	male	-0.336407328818928	0.394574530308794	0.397522671896684	0.805953596210836	CPLM	1.01	58	29	50
ETS1	sex	male	0.644069043219233	0.752036387679207	0.395408134654009	0.805953596210836	CPLM	1.28	58	10	83
KATNBL1	sex	male	0.755222537364581	0.887872014863191	0.398614851081796	0.805953596210836	CPLM	1.558	58	20	66
S100A14	sex	male	0.412549109948355	0.484282117296	0.397910452977744	0.805953596210836	CPLM	1.468	58	25	57
CLU	sex	male	0.242299499178002	0.283715453954382	0.396730898826564	0.805953596210836	CPLM	1.468	58	41	29
SLC26A2	sex	male	-0.395833126151679	0.464971148286784	0.398224661219892	0.805953596210836	CPLM	1.319	58	22	62
GJB2	sex	male	0.584817242598206	0.685028115709279	0.39690130109447	0.805953596210836	CPLM	1.01	58	9	84
GOLGA8A	sex	male	-0.325450049001184	0.377666256568767	0.392505790659482	0.805953596210836	CPLM	1.01	58	26	55
